order	cross_entropy	input_file	architecture	number_of_states	threads	fit	params_json	train_opt_json	no_mean	log_file	time	memory
1	3.9956280873524905	gaussian.npy	chain	2	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	2.62	168144
2	3.4019594745958504	gaussian.npy	chain	4	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	2.99	167984
3	3.1737232208072377	gaussian.npy	chain	6	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	3.20	168344
4	3.05157412260858	gaussian.npy	chain	8	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	2.44	168364
5	3.0633303152690305	gaussian.npy	chain	10	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	2.97	168280
6	3.644538205777289	gaussian.npy	chain	12	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	3.79	168588
7	4.363516778799808	gaussian.npy	chain	14	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	5.09	168168
8	6.609350113475647	gaussian.npy	chain	16	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	4.78	168368
9	10.930839277776014	gaussian.npy	chain	18	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	4.71	167912
10	16.46570048187253	gaussian.npy	chain	20	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	2.92	167980
11	23.423320689845962	gaussian.npy	chain	22	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	3.38	168512
12	28.170590319996446	gaussian.npy	chain	24	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	3.40	168052
13	35.21309394724492	gaussian.npy	chain	26	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	3.44	168276
14	40.38415946551617	gaussian.npy	chain	28	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	2.97	168528
15	42.748180251952014	gaussian.npy	chain	30	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	3.22	168128
16	46.05170185988091	gaussian.npy	escape_chain	2	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	2.68	168252
17	46.05170185988091	gaussian.npy	escape_chain	4	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	2.71	168076
18	46.05170185988091	gaussian.npy	escape_chain	6	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	2.30	168352
19	45.7754310922049	gaussian.npy	escape_chain	8	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	2.72	167832
20	45.240350694819654	gaussian.npy	escape_chain	10	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	2.42	168120
